year,country,location,tests
1994,Russia,atmosphere,0
1994,Russia,underground,0
1994,United Kingdom,atmosphere,0
1994,United Kingdom,underground,0
1994,United States,atmosphere,0
1994,United States,underground,0
1995,China,atmosphere,0
1995,China,underground,2
1995,France,atmosphere,0
1995,France,underground,5
1995,India,atmosphere,0
1995,India,underground,0
1995,North Korea,atmosphere,0
1995,North Korea,underground,0
1995,Pakistan,atmosphere,0
1995,Pakistan,underground,0
1995,Russia,atmosphere,0
1995,Russia,underground,0
1995,United Kingdom,atmosphere,0
1995,United Kingdom,underground,0
1995,United States,atmosphere,0
1995,United States,underground,0
1996,China,atmosphere,0
1996,China,underground,2
1996,France,atmosphere,0
1996,France,underground,1
1996,India,atmosphere,0
1996,India,underground,0
1996,North Korea,atmosphere,0
1996,North Korea,underground,0
1996,Pakistan,atmosphere,0
1996,Pakistan,underground,0
1996,Russia,atmosphere,0
1996,Russia,underground,0
1996,United Kingdom,atmosphere,0
1996,United Kingdom,underground,0
1996,United States,atmosphere,0
1996,United States,underground,0
1997,China,atmosphere,0
1997,China,underground,0
1997,France,atmosphere,0
1997,France,underground,0
1997,India,atmosphere,0
1997,India,underground,0
1997,North Korea,atmosphere,0
1997,North Korea,underground,0
1997,Pakistan,atmosphere,0
1997,Pakistan,underground,0
1997,Russia,atmosphere,0
1997,Russia,underground,0
1997,United Kingdom,atmosphere,0
1997,United Kingdom,underground,0
1997,United States,atmosphere,0
1997,United States,underground,0
1998,China,atmosphere,0
1998,China,underground,0
1998,France,atmosphere,0
1998,France,underground,0
1998,India,atmosphere,0
1998,India,underground,2
1998,North Korea,atmosphere,0
1998,North Korea,underground,0
1998,Pakistan,atmosphere,0
1998,Pakistan,underground,2
1998,Russia,atmosphere,0
1998,Russia,underground,0
1998,United Kingdom,atmosphere,0
1998,United Kingdom,underground,0
1998,United States,atmosphere,0
1998,United States,underground,0
1999,China,atmosphere,0
1999,China,underground,0
1999,France,atmosphere,0
1999,France,underground,0
1999,India,atmosphere,0
1999,India,underground,0
1999,North Korea,atmosphere,0
1999,North Korea,underground,0
1999,Pakistan,atmosphere,0
1999,Pakistan,underground,0
1999,Russia,atmosphere,0
1999,Russia,underground,0
1999,United Kingdom,atmosphere,0
1999,United Kingdom,underground,0
1999,United States,atmosphere,0
1999,United States,underground,0
2000,China,atmosphere,0
2000,China,underground,0
2000,France,atmosphere,0
2000,France,underground,0
2000,India,atmosphere,0
2000,India,underground,0
2000,North Korea,atmosphere,0
2000,North Korea,underground,0
2000,Pakistan,atmosphere,0
2000,Pakistan,underground,0
2000,Russia,atmosphere,0
2000,Russia,underground,0
2000,United Kingdom,atmosphere,0
2000,United Kingdom,underground,0
2000,United States,atmosphere,0
2000,United States,underground,0
2001,China,atmosphere,0
2001,China,underground,0
2001,France,atmosphere,0
2001,France,underground,0
2001,India,atmosphere,0
2001,India,underground,0
2001,North Korea,atmosphere,0
2001,North Korea,underground,0
2001,Pakistan,atmosphere,0
2001,Pakistan,underground,0
2001,Russia,atmosphere,0
2001,Russia,underground,0
2001,United Kingdom,atmosphere,0
2001,United Kingdom,underground,0
2001,United States,atmosphere,0
2001,United States,underground,0
2002,China,atmosphere,0
2002,China,underground,0
2002,France,atmosphere,0
2002,France,underground,0
2002,India,atmosphere,0
2002,India,underground,0
2002,North Korea,atmosphere,0
2002,North Korea,underground,0
2002,Pakistan,atmosphere,0
2002,Pakistan,underground,0
2002,Russia,atmosphere,0
2002,Russia,underground,0
2002,United Kingdom,atmosphere,0
2002,United Kingdom,underground,0
2002,United States,atmosphere,0
2002,United States,underground,0
2003,China,atmosphere,0
2003,China,underground,0
2003,France,atmosphere,0
2003,France,underground,0
2003,India,atmosphere,0
2003,India,underground,0
2003,North Korea,atmosphere,0
2003,North Korea,underground,0
2003,Pakistan,atmosphere,0
2003,Pakistan,underground,0
2003,Russia,atmosphere,0
2003,Russia,underground,0
2003,United Kingdom,atmosphere,0
2003,United Kingdom,underground,0
2003,United States,atmosphere,0
2003,United States,underground,0
2004,China,atmosphere,0
2004,China,underground,0
2004,France,atmosphere,0
2004,France,underground,0
2004,India,atmosphere,0
2004,India,underground,0
2004,North Korea,atmosphere,0
2004,North Korea,underground,0
2004,Pakistan,atmosphere,0
2004,Pakistan,underground,0
2004,Russia,atmosphere,0
2004,Russia,underground,0
2004,United Kingdom,atmosphere,0
2004,United Kingdom,underground,0
2004,United States,atmosphere,0
2004,United States,underground,0
2005,China,atmosphere,0
2005,China,underground,0
2005,France,atmosphere,0
2005,France,underground,0
2005,India,atmosphere,0
2005,India,underground,0
2005,North Korea,atmosphere,0
2005,North Korea,underground,0
2005,Pakistan,atmosphere,0
2005,Pakistan,underground,0
2005,Russia,atmosphere,0
2005,Russia,underground,0
2005,United Kingdom,atmosphere,0
2005,United Kingdom,underground,0
2005,United States,atmosphere,0
2005,United States,underground,0
2006,China,atmosphere,0
2006,China,underground,0
2006,France,atmosphere,0
2006,France,underground,0
2006,India,atmosphere,0
2006,India,underground,0
2006,North Korea,atmosphere,0
2006,North Korea,underground,1
2006,Pakistan,atmosphere,0
2006,Pakistan,underground,0
2006,Russia,atmosphere,0
2006,Russia,underground,0
2006,United Kingdom,atmosphere,0
2006,United Kingdom,underground,0
2006,United States,atmosphere,0
2006,United States,underground,0
2007,China,atmosphere,0
2007,China,underground,0
2007,France,atmosphere,0
2007,France,underground,0
2007,India,atmosphere,0
2007,India,underground,0
2007,North Korea,atmosphere,0
2007,North Korea,underground,0
2007,Pakistan,atmosphere,0
2007,Pakistan,underground,0
2007,Russia,atmosphere,0
2007,Russia,underground,0
2007,United Kingdom,atmosphere,0
2007,United Kingdom,underground,0
2007,United States,atmosphere,0
2007,United States,underground,0
2008,China,atmosphere,0
2008,China,underground,0
2008,France,atmosphere,0
2008,France,underground,0
2008,India,atmosphere,0
2008,India,underground,0
2008,North Korea,atmosphere,0
2008,North Korea,underground,0
2008,Pakistan,atmosphere,0
2008,Pakistan,underground,0
2008,Russia,atmosphere,0
2008,Russia,underground,0
2008,United Kingdom,atmosphere,0
2008,United Kingdom,underground,0
2008,United States,atmosphere,0
2008,United States,underground,0
2009,China,atmosphere,0
2009,China,underground,0
2009,France,atmosphere,0
2009,France,underground,0
2009,India,atmosphere,0
2009,India,underground,0
2009,North Korea,atmosphere,0
2009,North Korea,underground,1
2009,Pakistan,atmosphere,0
2009,Pakistan,underground,0
2009,Russia,atmosphere,0
2009,Russia,underground,0
2009,United Kingdom,atmosphere,0
2009,United Kingdom,underground,0
2009,United States,atmosphere,0
2009,United States,underground,0
2010,China,atmosphere,0
2010,China,underground,0
